product;coord_x;coord_y;label
Celular Desbloqueado Samsung Galaxy Y Pro Duos - Dual Chip. Android 2.3. C;-4.13725E+016;9.20665E+015;Celular
Smartphone Samsung Galaxy S II I9100 Preto com C;-5315800000000000;9.11158E+015;Celular
Nextel i296 - IDEN c/ GPS Avan;-5664950000000000;2.66491E+016;Celular
Smartphone Samsung Galaxy S III I9305 Grafite Android 4.0 C;-503438000000000;1.24184E+016;Celular
Celular Samsung Galaxy Y Duos S6102 Desbloqueado com Dual Chip. Android 2.3. Wi-Fi. 3G. GPS. C;-4107270000000000;9.13503E+015;Celular
SMARTPHONE BLACKBERRY CURVE 8520 PRETO DESBLOQUEADO - Blackberry;-4.21346E+015;-1.52847E+016;Celular
LG P920DESBLOQUEADO PRETO;-3697450000000000;1.53629E+016;Celular
Samsung S-7562 Galaxy S Duos - Preto;-5747650000000000;2.52089E+016;Celular
Smartphone samsung Galaxy Note Desbloqueado GT-N7000 - 3G. 5.3. 8MP. Wi-Fi. 16GB;-508072000000000;5.4404E+016;Celular
NOKIA 5233 - DESBLOQUEADO - Nokia;-3824370000000000;3.10274E+016;Celular
Celular ZTE do Corinthians Dual SIM Card. Radio FM.JAVA. MP3 Player.C;-2443310000000000;1.10673E+016;Celular
Celular desbloqueado SN45 MEU Branco com TV Anal;-318528000000000;1.76269E+016;Celular
LG C105 Preto/ Vermelho e Rosa - GSM;-4.16124E+016;2209610000000000;Celular
Motorola EX115 Dual Chip Desbloqueado;-6.2461E+016;2.09741E+016;Celular
Smartphone Samsung I9100 Galaxy S II 3G Desbloqueado Quadriband;-5319350000000000;905902000000000;Celular
Alcatel OT-217 Deep Black. Dual Chip. R;-5634630000000000;-916729000000000;Celular
Celular GSM Desbloqueado EX109 Mini c/ C;-6449240000000000;1659980000000000;Celular
"Smartphone Samsung Galaxy Win Duos 3G Android 4.1 - Câmera 5MP Tela 4.7"" Proces. Quad Core Wi-Fi A-GPS";-4.39826E+015;7617580000000000;Celular
Sony W150 Roxo- GSM -Desbloqueado Claro c/ TouchScreen c/ tela de 2.6. C;-459304000000000;2316070000000000;Celular
Smartphone Desbloqueado Claro - C3 Rosa - Nokia;-4828620000000000;3.07204E+016;Celular
Celular Desbloqueado Motokey Mini Ex108 - MP3 player. C;-6609570000000000;1.81314E+015;Celular
Celular LG X335 Dual Chip. Teclado Qwerty. R;-2.60454E+016;2151690000000000;Celular
