product;coord_x;coord_y;label
Smartphone LG Optimus P350 Android 3G, Wi - Fi, A-GPS, FM, Bluetooth Desbloqueado;-4,59042E+15;1,82257E+14;Celular
Celular Desbloqueado Multilaser Star P3148 Branco/Rosa QWERTY, Dual Chip c/ C;-3,05467E+16;2,32504E+14;Celular
Celular Samsung E2152 Duos Lite Leitor 2 Chips C;-3,68195E+16;3,58968E+16;Celular
C5 Celular 3G Nokia C5 03 Touch - C;-3,52137E+15;2,83136E+16;Celular
Samsung Galaxy Y TV S5367, Processador 832MHz, Android 2.3, 3G, GPS, Wi-Fi, TV Digital, C;-4,14939E+15;8,09519E+15;Celular
Smartphone Sony Xperia arc S 1.4GHz 3G Android 2.3 Wi-Fi C;-4,58971E+15;1,5804E+16;Celular
Smartphone Galaxy S4 Branco Tela 5, 3G, Wi-Fi, Android 4.2, Processador Octa Core, C;-4,26915E+15;5,83761E+15;Celular
Smartphone Sony Ericsson Live Walkman Desbloqueado Oi Branco - Android 2.3 Processador 1GHz Tela 3.2 C;-4,24019E+14;3,35384E+15;Celular
Celular Desbloqueado Motorola Screen EX128 Dual Chip;-6,1784E+15;2,08497E+16;Celular
Smartphone Motorola Spice XT Desbloqueado Tim, Preto, Android 2.3, Tela 3.5, C;-5,4621E+15;1,87802E+16;Celular
Smartphone Xperia E Dual Chip, Display 3.5, 3G, Wi-Fi, Android 4.0, Processador 1Ghz, C;-4,3602E+15;4,55096E+15;Celular
Smartphone Samsung Galaxy Note II N7100 Desbloqueado Android 4.1 Jelly Bean, Processador Quad Core 1,6 GHz, Tela 5.5, C;-4,46153E+16;1,4246E+16;Celular
Celular Motorola Motokey EX115 GSM Desbloqueado;-6,42354E+14;1,66578E+16;Celular
Samsung M2710 Beat Twist Azul - GSM c/ C;-3,93743E+16;2,24845E+16;Celular
Smartphone Samsung Galaxy 551 GT-I5510 Desbloqueado;-5,09326E+15;9,86227E+15;Celular
Celular ZTE R221 Desbloqueado;-2,31437E+16;2,43348E+16;Celular
Celular MEU AN200 Pt/Cz Dual Chip, Android 2.3, Processador 1GHz, Câmera 3.2MP, Wi-Fi, MP3 Player, Bluetooth, Rádio FM e Cartão 2GB;-3,12776E+16;7,75708E+16;Celular
Celular desbloqueado Blackberry Torch 9860 GPS, Wi-Fi, 3G, Bluetooth , Camera 5MP com Flash LED;-4,12234E+15;3,28165E+15;Celular
